7cc32f3071a4c6f87cc68ea,江苏历代文化名人传·刘禹锡,卞敏
e6c32380813ab9188g01205b,唐代大庾岭诗路研究,吴强著
dd0329b057e9bddd05f247c,宋代文化研究（第十九辑）,四川大学古籍整理研究所
b5832220723d3a28b588226,南开诗学（第3辑）,罗振亚 孙克强主编
775324c0723d3a607754726,曹植诗赋缘情研究,于国华
33332380813ab6ab8g01760e,原来宋朝这么有趣  雅趣见情致,吴钩
591320a0813ab9117g011ab3,宋代格韵说研究,傅新营
6d032d50813ab7c3ag010c2e,宋韵文化简读,陈野
cd432e70813ab9d9cg010381,当宋词遇上美食,罗宝航
0a032fc0813ab93e6g0171af,历代杭州西湖诗词一百首,张梦新 柏舟主编
44c32c80813ab92c1g018280,中国音乐文学,杨赛
08c32550813aba786g01771d,江苏文学思想史,周群 刘立群
745328905b8b5274514821a,词洁辑评,先著
78c32de0813ab912bg015cba,中国历代女词人作品选析（下册）,董昭明
e22329e07187c3b4e2251d1,彭庆生文集,韩经太 陈亮
73f321e0813abb7f0g017aaf,东亚汉诗论丛（第三辑）,严明 吴留营
99d3224072621aea99daffd,古笺风雅：醉花阴（尺素风雅）,刘璁编著
b9d32450723d3969b9d2422,古代文学前沿与评论（第三辑）,中国社会科学院文学研究所古代文学学科 刘跃进
d3932bc058cdb7d39f8e811,中华千年文萃：词坊,华业
66132360813ab9cacg018cb3,诗词体性与传承：张宏生自选集,张宏生
c2132860813ab9a20g015faf,元代文学史,邓绍基
28f32b90813ab912bg0183d1,中国历代女词人作品选析（上册）,董昭明
3be32d20813ab99b2g01653b,敦煌曲子词集,王重民 辑
73a32ff0813abb6b6g0141d4,项楚先生纪念文集全二册（套装全二册）【中华书局出品】,四川大学文学与新闻学院 四川大学中国俗文化研究所编 张涌泉 何剑平主编 尹赋执行主编
17e3230072960f2317e85f7,曲子的发生学意义,郭威
20e32d10813abbf83g010adf,龙榆生词学论文集,龙榆生
d3f325b07214071fd3ffa0b,唐代胡乐入华及审美问题研究,罗希
9db322c071c1fe779db647d,张中行全集,张中行
3a032bc0813ab9234g014543,伶工之词：唐五代宋初词史,木斋
a66320407212f53fa66dafa,独特的词作,胡元斌编著
416329e0813ab7321g017bc5,饒學概論：饒宗頤學術思想研究,陳民鎮
01732f907191a3ca01765e3,中文论坛（2018年第2辑/总第8辑）,湖北大学文学院《中文论坛》编辑委员会
fb232ce0723d3909fb26f9a,中文论坛（2019年第1辑/总第9辑）,湖北大学文学院《中文论坛》编辑委员会
6a832ef071599da26a8e861,中文论坛（2017年第2辑 总第6辑）,湖北大学文学院《中文论坛》编辑委员会
5e332df0813ab751cg019b67,词学与词心,杨海明述 钱锡生编
33e325e0813ab7320g0160f2,朱敦儒词的阐释与接受,郁玉英
7e132b70813abbeeag0148bb,典籍中的诗赋词曲,刘安琪 编著
fcd32ef0813abbbebg019e85,宋代教坊音乐传播机制,赵悦岩
f0832510813ab8996g015108,品宋解韵——细说中华文化中的风雅宋,徐吉军 陈华胜等
d5c32e30721406cad5cc219,宋代江浙诗韵研究,钱毅
8e432680813ab7661g019bd0,中国文化大讲堂,王羽
2db32610813abb7fcg014c55,半亩方塘——我的思想学术之路,胡可先
98c32080813aba5b3g01122a,两宋词人舞事【中华书局出品】,刘航著
38c326f0813ab92a8g017d1d,国学经典论读,高玉昆
4c432bb0727ccd684c4d50f,纯美诗词胎教,汉竹编著
262329f071a131db26253f4,汉语词类史稿,周生亚
a0d32630813ab9e63g017a15,学人文丛·宋元话本语言研究,周文
c6a32ee07210a0fac6a918d,美的焦虑：北宋士大夫的审美思想与追求,艾朗诺
67c32220813ab74f3g010a2a,唐代铨选与文学论稿,王勋成著
99a32b00813ab74f2g0130a0,茶的味道——唐代茶诗新解（精）,杨多杰著
c70325b0717dbb54c700610,陈与义诗研究,杭勇
45a32190813ab9350g019eb8,一诗一物总关情：古诗词里的悲欢故事,黄北溪
138322b0813ab7768g015da5,20世纪中国文学史丛刊：新著国语文学史,陈文新
cf732080813ab6f62g017a0d,写给孩子们的唐诗之路,吴山 胡之澍 陈石林 熊文颖
85e32ff0813ab6edfg014d31,袁枚精选集,[清]袁枚
c2e32340813ab7f82g01707e,水边的修辞,陆春祥
58232b10813aba314g013fd1,励耘学刊（2024年第1辑/总第39辑）,杜桂萍
b2c329607166b537b2ccdf8,励耘学刊（2018年第1辑/总第二十七辑）,北京师范大学文学院主办 杜桂萍主编
1d832f407166b8391d8c9be,明清文学与文献（第4辑）,杜桂萍主编
f64324107166bb15f646372,明清文学与文献（第三辑）,杜桂萍主编
318321e0813aba314g016ba8,励耘学刊（2024年第2辑/总第40辑）,杜桂萍
f3a3213072972a8cf3ad680,励耘学刊（2020年第2辑·总第32辑）,杜桂萍主编
37a32cd0723d38e137a8eed,励耘学刊（2019年第2辑/总第30辑）,北京师范大学文学院 杜桂萍
bff320607156d941bffbf9f,中国美学（第3辑）,首都师范大学美学研究所
81032f40813ab798fg012dc0,中国古典学（第二卷）,杜晓勤
22f32760813ab828bg015b95,中国古典学（第三卷）,杜晓勤主编
fe432d3071d86d96fe47d18,文学传播与接受论丛（第四辑）,尚永亮 谭新红主编
d8832ed0722de3cad88e57e,唐诗之路研究（第一辑）,邱高兴主编 房瑞丽副主编
96532c30813ab8c0ag01827b,柏桦唐诗三百首,柏桦
4de327c0813ab6ab2g011628,德国人写的中国文学史,施寒微
68432900813abacd8g01084b,刘禹锡研究（第四辑）,戴伟华
主编
吴夏平 张巍 张之为
副主编
24d32ca071f014fc24dfdd0,文学研究（第2卷·2）,徐兴无 王彬彬
8a3322d071f015ac8a37777,文学研究（第1卷·第1期）,徐兴无 王彬彬
3ff329f071f016ad3ff1a0e,文学研究（第1卷·2）,徐兴无 王彬彬
051322f0813ab799dg01395b,文学研究（第6卷·1）,徐兴无 王彬彬
8ed327f071f0164e8edeaae,文学研究（第3卷·1）,徐兴无 王彬彬
ad2326f0715aa45fad2335f,讲给孩子的中国文学经典（第二册）：中唐至元代,侯会
438322a07191a65d4381530,乐府学（第19辑）,吴相洲
584324f07156dbbc5845613,乐府学（第15辑）,吴相洲
d9132660715997ced9186aa,乐府学（第14辑）,吴相洲
f5032f3071599cb1f50522a,乐府学（第16辑）,吴相洲
44132dc07166b73e441afe6,乐府学（第十三辑）,吴相洲主编
15f321207166bb5315f22cc,乐府学（第十辑）,首都师范大学中国诗歌研究中心 教育部省属高校人文社会科学重点研究基地主办 吴相洲主编
4cc3287072972a0d4ccfd82,乐府学（第22辑）,吴相洲主编
0bc32980813aba307g016b45,乐府学（第30辑）,赵敏俐
f4c32530813aba2efg01288f,乐府学（第31辑）,赵敏俐
c7432740813aba2f4g011767,中国诗歌研究（第26辑）,赵敏俐
9b832c30723d3b9b9b84ee9,中国诗歌研究（第二十辑）,赵敏俐主编
988320c0813ab7cb2g013816,古诗词中的家国情怀,崔峦 方圆
f45328e0813ab7469g010cf1,刘禹锡：唱著君王自作词,丁守卫 著
e95329c0813abb230g0187ca,池北偶谈,[清]王士祯 尹小林 审校
5c73281071e1e0345c7470f,唐诗三百首品读,方笑一评注
ee432e307277f321ee4bf95,曲体研究（精装）,俞为民著
63632bd0813ab83e2g01360a,饮之太和：中国美学名著选讲,朱良志
e5a32260813ab81dag015311,中国文化通史：隋唐五代卷 04,郑师渠 王永平
26c32900813abbed1g012201,杜甫传（全新版）,朱东润
474329d071f015df4743a9b,文学评论丛刊（第15卷第2期）,周勋初 陆建德
78832e30813ab8be4g01102c,中国文论的作家论（古代文学理论研究第四十九辑）,胡晓明
11d32a40813ab8fb0g0106e6,韵语阳秋,葛立方
369327b0813ab8be4g018ed8,文学理论的中国性（古代文学理论研究第五十一辑）,胡晓明
59132200813abb31fg0115d1,南唐二主词,李璟/[五代]李煜
f7c32180813aba3c0g018152,尊前集,佚名
eb532860813abb2b4g017aff,碧鸡漫志,[宋]王灼 尹小林 审校
d5632640813ab7b00g018333,中国文学论集续篇,徐复观
e0b3297071898505e0be0b8,中国文学叙事传统研究,董乃斌主编
71f325c0813ab7b03g019668,中国文学论集,徐复观
32032b20813ab7b07g0199f6,中国人之思维方法　诗的原理,徐复观
3243274071ca4e073249296,钱穆讲中国文学史,叶龙
41732cf0718986fa41701b9,蠡测集：中国文学与文化的大时段研究,袁行霈
fd232d60715997c0fd20f41,古宫词一百二十首集唐笺证,邓小军 其他
58e320a05c108d58eb1ae24,楹联丛话全编,[清]梁章钜
6f532650813abb8e2g0110b4,日本平安朝唐诗学研究--东亚唐诗学研究丛书【中华书局出品】,文艳蓉著
934323705b6e03934b87c71,白香集,沈行
460325e0813ab8757g01525d,浙东唐诗之路论文集·渔浦卷,田伟栋 姚翔
17132cc0726c8bbb171ceff,清代乡、会试诗命题与唐诗的接受,刘美艳
ae932a00813ab9a2cg010847,大唐想象力：唐诗中的神仙们,石继航
38032a30813aba032g015f4a,诗在丝路：大唐诗人的丝绸之路行,石云涛 莫丽芸
3e9328e0813ab8f6dg013370,古今风谣,[明]杨慎
7b832bb05c1edc7b8454431,野客丛书,王楙
b9f32aa071fb0d12b9f8203,唐宋时期落第士人群体研究,黄云鹤
e7c322a07156d966e7c2b93,岭南文化的真相：岭南文化与文学地理之考察,曾大兴
51e329c071ef0afe51ec1bb,江苏历代文化名人传·金圣叹,吴正岚
51932970813abb822g012fa0,杜牧集,罗时进 注评
94432070813ab7317g017cde,五代巴蜀文学研究,孙振涛
a5f32b50813ab7503g016f2b,浙东唐诗之路学术文化编年史（唐诗之路研究丛书）,李招红编著
51532120813abbf3fg013f51,中国古典诗歌讲稿,浦江清
b1632040813abbf9bg011f45,唐五代宋词选,龙榆生
